time,load_Nord,load_West,load_Ost,load_Süd,wind_Nord,wind_West,wind_Ost,wind_Süd,pv_Nord,pv_West,pv_Ost,pv_Süd
2025-04-01 14:00:00,10286.69229,18287.452960000002,11429.6581,17144.48715,0.1432618264217787,0.5723439328323388,0.1991364526681105,0.5594866314456364,0.4938135714241439,0.3546656225689613,0.2321534997948506,0.449767698854506
2025-04-01 15:00:00,10411.32717,18509.02608,11568.141300000001,17352.21195,0.1560080003617664,0.60524524997476,0.1899539398777514,0.6214446024941541,0.3711528956270418,0.2729923110770087,0.1679112094573201,0.3547327466188434
2025-04-01 16:00:00,10842.888015,19276.24536,12047.65335,18071.480025,0.1662278661527019,0.5765863834065199,0.1642428223307645,0.5681337309281295,0.2437533497302237,0.2053105630144722,0.1069921296994662,0.2323744975236305
2025-04-01 17:00:00,10932.69078,19435.89472,12147.434200000002,18221.1513,0.1915823735828205,0.5374316745250691,0.1528987381982708,0.5354716742626585,0.1098941824492497,0.136179951791801,0.0434434956113547,0.1010728466527375
2025-04-01 18:00:00,10875.62421,19334.443040000002,12084.0269,18126.04035,0.2512582962061281,0.5587293512209007,0.1844341339010532,0.5275129961412576,0.0071782776287383,0.0160195293387542,0.0005720621414494,0.0058646717699684
2025-04-01 19:00:00,10406.097315,18499.728560000003,11562.330350000002,17343.495525000002,0.299569403374234,0.5971867920097309,0.2212724767614748,0.5298089349176278,0.0,0.0,0.0,0.0
2025-04-01 20:00:00,9672.91128,17196.28672,10747.6792,16121.5188,0.3240266315928861,0.6283847794768671,0.2383809479077031,0.529664678952071,0.0,0.0,0.0,0.0
2025-04-01 21:00:00,8883.89298,15793.587520000001,9870.9922,14806.4883,0.3179639775176887,0.6308484890481378,0.2363845197193038,0.5215223009825838,0.0,0.0,0.0,0.0
2025-04-01 22:00:00,8319.343455,14789.94392,9243.71495,13865.572425,0.3373996165415338,0.6219566602527782,0.2153132653637134,0.4825230679596681,0.0,0.0,0.0,0.0
2025-04-01 23:00:00,7993.788299999999,14211.179199999999,8881.987,13322.9805,0.3194627685124545,0.5992984698312201,0.2048596050295361,0.480685140418216,0.0,0.0,0.0,0.0
2025-04-02 00:00:00,7876.870559999999,14003.32544,8752.0784,13128.1176,0.2906470061681088,0.5922911561059931,0.1796444240182202,0.4783878154515676,0.0,0.0,0.0,0.0
2025-04-02 01:00:00,7944.62913,14123.78512,8827.3657,13241.048550000001,0.2646930819270564,0.5963903257155446,0.1667578026080307,0.4809629586078937,0.0,0.0,0.0,0.0
2025-04-02 02:00:00,8166.185280000001,14517.662720000002,9073.539200000001,13610.3088,0.2602309297501579,0.5943135848201752,0.1657778959667883,0.4838594776489877,0.0,0.0,0.0,0.0
2025-04-02 03:00:00,8908.112655,15836.64472,9897.902950000002,14846.854425,0.2530375735866163,0.5868284827072984,0.1616859574360532,0.4781615037774339,0.0,0.0,0.0,0.0
2025-04-02 04:00:00,10241.22456,18206.621440000003,11379.138400000002,17068.7076,0.2502824441724013,0.5652198698039478,0.1624008721400885,0.4647017638378021,0.0,0.0,0.0,0.0
2025-04-02 05:00:00,11064.595229999999,19670.39152,12293.994700000001,18440.99205,0.2536467546771175,0.5552962692515109,0.1602432558834859,0.4495134851255296,0.0,0.0,0.0,0.0
2025-04-02 06:00:00,11483.27631,20414.71344,12759.1959,19138.79385,0.2485876046399897,0.550920406448761,0.1425623691995013,0.4198464181780558,0.0248855662506174,0.0072541132603891,0.0386239353117798,0.0196691202431722
2025-04-02 07:00:00,11507.831549999999,20458.3672,12786.479500000001,19179.71925,0.2092394499470291,0.4825901645069189,0.0998542371018848,0.3314581141327265,0.1514780569734082,0.1570227225308479,0.1892589643688254,0.1704266430587572
2025-04-02 08:00:00,11192.281695,19897.38968,12435.868550000001,18653.802825,0.1788381687027927,0.4404102826288229,0.0895637265785547,0.3952196348757881,0.3332764538178387,0.3554901178919952,0.3631769601411115,0.3568644585250889
2025-04-02 09:00:00,11064.93174,19670.98976,12294.368600000002,18441.5529,0.1661308086611571,0.5098040439066075,0.1017643660113937,0.4571708100401529,0.513016808192083,0.5289259616088628,0.5394395522948369,0.5266702678094393
2025-04-02 10:00:00,10855.091205,19297.93992,12061.21245,18091.818675,0.1880245350132665,0.4800833000051723,0.0719903444094548,0.340320927879731,0.6567959294556377,0.6485008574336996,0.6581528561493143,0.6526223862325999
